country,iso,yearstart,yearend,region,subregion,numberofabortions,abortionrate,perc_p_ending_in_a,spontaneous,datatype,datasource,complete,classification,modelused,marriedonly,notes
Albania,8,1990,1990,Europe and Northern America,Southern Europe,17400,,,No,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,Yes,,
Albania,8,1991,1991,Europe and Northern America,Southern Europe,20300,,,No,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,Yes,,
Albania,8,1992,1992,Europe and Northern America,Southern Europe,18700,,,No,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,Yes,,
Albania,8,1993,1993,Europe and Northern America,Southern Europe,25100,,,No,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,Yes,,
Albania,8,1994,1994,Europe and Northern America,Southern Europe,31622,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
Albania,8,1994,1994,Europe and Northern America,Southern Europe,22800,,,No,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,,,
Albania,8,1995,1995,Europe and Northern America,Southern Europe,22400,,,No,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,,,
Albania,8,1995,1995,Europe and Northern America,Southern Europe,31874,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
Albania,8,1996,1996,Europe and Northern America,Southern Europe,21180,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,1996,1996,Europe and Northern America,Southern Europe,32538,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,1997,1997,Europe and Northern America,Southern Europe,15705,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,1997,1997,Europe and Northern America,Southern Europe,22103,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,1998,1998,Europe and Northern America,Southern Europe,18944,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
