"country_name","country_code","region","development_level","least_developed_country","government_support","grounds","flexibility_score","year"
"Afghanistan",4,"Asia","Less dev. region","Yes","Direct support","1",1,"2001"
"Albania",8,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Algeria",12,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Andorra",20,"Europe","More dev. region","No","No support","1",1,"2001"
"Angola",24,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Antigua and Barbuda",28,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2001"
"Argentina",32,"Latin Amer. & Caribbean","Less dev. region","No","Indirect support","1,2,3,4",4,"2001"
"Armenia",51,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Australia",36,"Oceania","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Austria",40,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Azerbaijan",31,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Bahamas",44,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Bahrain",48,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Bangladesh",50,"Asia","Less dev. region","Yes","Direct support","1",1,"2001"
"Barbados",52,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2001"
"Belarus",112,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Belgium",56,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Belize",84,"Latin Amer. & Caribbean","Less dev. region","No","Indirect support","1,2,3,5,6",5,"2001"
"Benin",204,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Bhutan",64,"Asia","Less dev. region","Yes","Direct support","1",1,"2001"
"Bolivia (Plurinational State of)",68,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2001"
"Bosnia and Herzegovina",70,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Botswana",72,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2001"
"Brazil",76,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,4",2,"2001"
"Brunei Darussalam",96,"Asia","Less dev. region","No","No support","1",1,"2001"
"Bulgaria",100,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Burkina Faso",854,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2001"
"Burundi",108,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2001"
"Cabo Verde",132,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Cambodia",116,"Asia","Less dev. region","Yes","Direct support","1,2,3,4,5,6,7",7,"2001"
"Cameroon",120,"Africa","Less dev. region","No","Indirect support","1,2,3,4",4,"2001"
"Canada",124,"Northern America","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Central African Republic",140,"Africa","Less dev. region","Yes","Indirect support","1",1,"2001"
"Chad",148,"Africa","Less dev. region","Yes","Indirect support","1",1,"2001"
"Chile",152,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"2001"
"China",156,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Colombia",170,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2001"
"Comoros",174,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2001"
"Congo",178,"Africa","Less dev. region","No","Direct support","1",1,"2001"
"Cook Islands",184,"Oceania","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Costa Rica",188,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Côte d'Ivoire",384,"Africa","Less dev. region","No","Direct support","1",1,"2001"
"Croatia",191,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Cuba",192,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Cyprus",196,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5",5,"2001"
"Czech Republic",203,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Democratic People's Republic of Korea",408,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Democratic Republic of the Congo",180,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Denmark",208,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Djibouti",262,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Dominica",212,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2001"
"Dominican Republic",214,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2001"
"Ecuador",218,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2001"
"Egypt",818,"Africa","Less dev. region","No","Direct support","1",1,"2001"
"El Salvador",222,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"2001"
"Equatorial Guinea",226,"Africa","Less dev. region","Yes","No support","1,2,3",3,"2001"
"Eritrea",232,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2001"
"Estonia",233,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Ethiopia",231,"Africa","Less dev. region","Yes","Direct support","1,2",2,"2001"
"Fiji",242,"Oceania","Less dev. region","No","Direct support","1,2,3,6",4,"2001"
"Finland",246,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6",6,"2001"
"France",250,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Gabon",266,"Africa","Less dev. region","No","No support","1",1,"2001"
"Gambia",270,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2001"
"Georgia",268,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Germany",276,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2001"
"Ghana",288,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2001"
